id,pn,name,googled,Eigentümer,Betreiber,unknonw,Dynastie,Quelle
,54,Splash,,,Eveline Grims,FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=bca611ad-894b-4929-bcd3-ebb5655067da
,51a,Ali Baba,1,,Safwat Massih,FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=a3403861-2cfb-4756-8d5b-515fe7d0c823
,47,Bogenschießen,1,,,TRUE,,
,47,Daytona Beach,,,Silvia Lang,FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=5d8b5e4d-5507-4777-a193-cbf4c1715422
,53,,,,,TRUE,,
,52,Aeroplan Karussell,1,,Elisabeth Brantusa,FALSE,Brantusa,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=b114484e-6b1a-4c86-aa2b-93bd23c1fa8b
,55a,Turbo-Autodrom Testarossa,,,Johann Dallinger (Johann Dallinger GmbH),FALSE,Dallinger,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=1c8f6bec-ded7-45de-8941-3b437f41294e
,55g,Jack the Ripper,1,,,TRUE,,
,55g,Ballwurfbude Ball Ball,1,,Andrea Sulova,FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=beab2056-656e-4502-b371-f038bf2a1751
,55f,Jelly Belly,1,,Fredo Nemec,FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=14835bb3-6029-4ddc-946e-d4c3848310f6
,55e,Photo Anno 1900,1,Thomas Sanejstra; Stand: 2001,,FALSE,,
,55d,Hallo Wien Spiegelkabinett,1,,,TRUE,,
,57,Grottenbahn zum Silberbergwerk,,,Vera Löbel,FALSE,Löbel,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=7e6c4a84-07d2-4366-b244-57d4fc2008ab
,58,Restaurant zum Englischen Reiter,1,Maria Reinthaler; Stand: 2007,"Jacqueline Manuela Winkler (""CPC"" - Gastronomiebetriebs GmbH)",FALSE,,http://www.restaurantzumenglischenreiter.at/Kontakt-Impressum/
,59b,Kinderringelspiel,1,,Irene Heindl,FALSE,Heindl,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=f84751ef-be12-4eb5-a88d-c1cc45f5df9c
,59a,Praterturm,,,Walter Pondorfer (FUN Vergnügungsbetriebe GmbH),FALSE,Pondorfer,"https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=9e3bc3d9-e16b-4ed3-adbe-934fbf104beb , Firmenbuch"
